Name,Actor 1,Cluster,Genre_Action,Genre_Adventure,Genre_Animation,Genre_Biography,Genre_Comedy,Genre_Crime,Genre_Documentary,Genre_Drama,Genre_Family,Genre_Fantasy,Genre_History,Genre_Horror,Genre_Music,Genre_Musical,Genre_Mystery,Genre_News,Genre_Romance,Genre_Sci-Fi,Genre_Sport,Genre_Thriller,Genre_War,Genre_Western,Year,Year,Votes,Votes,Duration,Duration,Dir_enc,A1_enc,A2_enc,A3_enc,G_mean_rat
9 O' Clock,Arun Bakshi,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,9,9,124,124,5.3,4.775,5.3,5.3,5.524440052700922
99,Raj Nidimoru,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2009,2767,2767,135,135,6.85,6.85,5.24,6.12,5.883099778234949
99 Songs,Ehan Bhat,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2019,2019,1901,1901,128,128,7.4,7.4,7.4,7.4,6.0532800323541665
99.9 FM,Shawar Ali,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005,2005,38,38,90,90,4.8,3.6,4.8,4.8,5.948709817728362
A Billion Colour Story,Dhruva Padmakumar,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,412,412,105,105,8.1,8.1,8.1,8.1,6.055890973036343
A Daughter's Tale PANKH,Rajinder Verma,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,10,10,145,145,5.898232868643235,5.898232868643235,5.898232868643235,5.898232868643235,6.055890973036343
A Death in the Gunj,Kalki Koechlin,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,2016,4637,4637,110,110,5.898232868643235,6.933333333333334,5.4,5.125,5.838193420402469
A Film by Aravind,Sherlyn Chopra,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2005,2005,179,179,150,150,6.8,4.75,6.8,6.8,5.351565063997374
A Flat,Jimmy Sheirgill,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2010,2010,202,202,103,103,3.6,5.521052631578947,3.7,4.1,5.547777503532821
A Flying Jatt,Tiger Shroff,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,4145,4145,151,151,4.133333333333334,3.7,3.9200000000000004,3.0,5.715953751308443
A Game Called Relationship,Mandy Takhar,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2020,2020,181,181,109,109,4.95,5.898232868643235,5.898232868643235,5.898232868643235,5.774774254768754
A Gentleman,Raj Nidimoru,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,5227,5227,145,145,6.85,6.85,4.9,5.033333333333333,5.638159875974521
A Gift of Love: Sifar,Sanjay Deyali,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2019,2019,33,33,95,95,8.0,8.0,6.5,6.0,5.926779891662866
A Journey of Samyak Buddha,Geeta Agrawal,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,2013,17,17,127,127,7.3,7.3,7.3,7.3,6.055890973036343
A New Love Ishtory,Raqesh Bapat,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,2013,80,80,140,140,6.333333333333333,6.0,6.0,6.0,5.797668810289389
A Scandall,Johnny Baweja,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,2016,142,142,112,112,3.766666666666667,3.1,3.1,4.35,5.620495867768595
A Sublime Love Story: Barsaat,Bobby Deol,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2005,2005,627,627,143,143,4.1625,4.8125,4.38,5.316666666666666,5.926779891662866
A Thin Line,Trivikram Mattoo,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,24,24,104,104,7.300000000000001,7.9,5.466666666666666,7.300000000000001,6.055890973036343
A Wednesday,Anupam Kher,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,2008,75118,75118,104,104,8.0,5.873333333333333,6.531578947368421,6.557142857142857,5.807286562719216
Aa Ab Laut Chalen,Rajesh Khanna,7,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1999,1999,1621,1621,177,177,5.5,6.547058823529412,6.16,6.2,6.05393276752471
AA BB KK,Shravani Abhang,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018,2018,249,249,121,121,8.0,8.0,8.0,6.25,6.055890973036343
Aa Dekhen Zara,Neil Nitin Mukesh,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009,2009,866,866,117,117,5.0,4.779999999999999,4.38,5.0,5.447236704672634
Aa Gale Lag Jaa,Shashi Kapoor,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1973,1973,348,348,148,148,6.488235294117647,6.268421052631578,7.003571428571428,6.114814814814815,5.792666612008884
Aa Gale Lag Jaa,Jugal Hansraj,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1994,1994,115,115,158,158,3.9000000000000004,5.050000000000001,5.1000000000000005,5.367857142857143,5.855513105505706
Aa Gaya Hero,Govinda,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017,2017,339,339,123,123,2.7,4.74,2.7,2.7,5.524440052700922
Aa Jao Please,Neha Chauhan,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,2016,16,16,120,120,6.8,6.8,6.8,6.8,6.055890973036343
Aabra Ka Daabra,Naveen Bawa,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2004,2004,264,264,144,144,2.4,2.4,4.133333333333334,4.8999999999999995,5.787407407407407
Aabroo,Ashok Kumar,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,1968,21,21,170,170,7.1,6.546987951807228,6.15,7.040000000000001,5.883099778234949
Aadamkhor,Deeya Dey,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2018,2018,150,150,72,72,5.45,5.898232868643235,5.45,5.898232868643235,4.7897727272727275
Aadat Se Majboor,Mithun Chakraborty,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,1982,28,28,105,105,5.3,5.3094117647058825,4.8999999999999995,5.966666666666666,5.807286562719216
Aadha Din Aadhee Raat,Jalal Agha,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1977,1977,18,18,132,132,5.1,5.933333333333334,5.872727272727272,6.644444444444444,5.524440052700922
Aadhaar,Vineet Kumar Singh,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,2019,69,69,107,107,7.6,7.8,5.825,6.38,6.055890973036343
Aadharshila,Dolly Ahluwalia,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1982,1982,19,19,154,154,6.4,6.2,6.5,5.625,6.055890973036343
Aadhi Bhagavan,Jayam Ravi,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2013,2013,568,568,157,157,5.898232868643235,5.898232868643235,6.5,5.898232868643235,5.662154860963301
Aadhi Raat,Cuckoo,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1950,1950,9,9,115,115,6.7,6.7,6.2,6.616666666666667,5.926779891662866
Aadmi,Dilip Kumar,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1968,1968,196,196,175,175,6.785714285714286,7.044444444444444,6.836,7.0,5.926779891662866
Aadmi,Ajit,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,1993,97,97,153,153,5.5,5.84,5.14,5.0200000000000005,5.807286562719216
Aadmi Aur Apsara,K. Raghavendra Rao,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1991,1991,66,66,142,142,5.590909090909091,6.7,6.5,5.970833333333334,5.787407407407407
Aadmi Aur Insaan,Dharmendra,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1969,1969,149,149,168,168,6.9714285714285715,5.881578947368421,6.723529411764706,6.857142857142857,5.824685217031441
Aadmi Khilona Hai,Jeetendra,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1993,1993,142,142,158,158,5.590909090909091,5.4313253012048195,5.983333333333333,5.090909090909091,5.926779891662866
Aadmi Ki Aurat Aur Anya Kahaniya,Ashok Chaudhary,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009,2009,62,62,78,78,7.6,7.6,7.6,7.6,6.055890973036343
