Name,Genre,GenreCluster
Aman Ke Farishtey,Action,1
Amanush,"Drama, Family",1
Amar,"Drama, Musical, Romance",3
Amar Deep,"Musical, Romance",3
Amar Jyoti,Drama,1
Amar Prem,"Drama, Musical, Romance",3
Amar Prem,Drama,1
Amar Rahe Ye Pyar,Drama,1
Amar Shakti,"Action, Adventure, Comedy",4
"Amar, Akbar and Anthony","Action, Comedy, Drama",1
Amavas,"Horror, Thriller",0
Amba,Family,1
Amber,"Action, Adventure, Drama",4
Amdavad Junction,Mystery,1
American Desi,"Comedy, Drama, Romance",5
Amir Garib,"Action, Thriller",1
Amiri Garibi,Family,1
Amit Sahni Ki List,"Comedy, Romance",5
Amma,Drama,1
Amma Nagamma,"Drama, Fantasy, Thriller",1
Ammaa Ki Boli,"Comedy, Drama",1
Amrapali,"Musical, Fantasy",3
Amrit,"Drama, Family",1
Amu,Drama,1
An Evening in Paris,"Musical, Romance, Thriller",3
An Insignificant Man,"Documentary, Thriller",1
Anaarkali of Aarah,Drama,1
Anamika,"Mystery, Romance, Musical",3
Anand,"Drama, Musical",3
Anand Math,"Biography, Drama, History",1
Ananda Ashram,"Drama, Family",1
Anari,"Comedy, Drama, Musical",3
Anari,"Comedy, Drama, Romance",5
Anari,"Drama, Romance",5
Anari No. 1,Comedy,1
Anarkali,"History, Musical, Romance",3
Anatomy of Violence,"Crime, Drama",1
Andaaz,"Drama, Musical, Romance",3
Andaz,"Musical, Drama, Crime",3
Andaz,"Drama, Romance",5
Andaz,"Action, Comedy, Drama",1
Andaz Apna Apna,"Action, Comedy, Romance",5
Andha Bichar,"Action, Drama",1
Andha Oru Nimidam,"Action, Crime, Drama",1
Andhaa Kaanoon,"Action, Drama",1
Andhadhun,"Crime, Drama, Music",1
Andhera,"Crime, Drama, Thriller",1
Andheri Raat Mein Diya Tere Haath Mein,"Comedy, Drama",1
Andhi Gali,"Drama, Thriller",1
Andolan,"Action, Comedy, Drama",1
Angaar,"Action, Crime, Drama",1
Angaara,"Action, Crime",1
Angaaray,"Action, Crime, Drama",1
Angel,"Action, Drama",1
Angoor,Comedy,1
Angoor,Drama,1
Angrakshak,"Action, Romance",5
Angrezi Medium,"Comedy, Drama",1
Angry Indian Goddesses,"Comedy, Drama",1
Angulimaal,"Action, Adventure, Drama",4
Anhonee,"Drama, Romance, Thriller",5
Anhonee,"Drama, Romance, Thriller",5
Anita,"Musical, Thriller, Mystery",3
Anjaam,Thriller,1
Anjaam,"Drama, Thriller",1
Anjaana,Romance,5
Anjaana Anjaani,"Comedy, Drama, Musical",3
Anjaane: The Unkown,Horror,0
Anjan Hai Koyee,"Action, Comedy, Crime",1
Anjaneya,"Action, Crime, Drama",1
Anjaneyulu,"Action, Comedy, Crime",1
Ankahee,Drama,1
Ankahee,"Biography, Drama, Romance",5
Ankhen,"Action, Adventure, Drama",4
Ankhon Dekhi,"Comedy, Drama",1
Ankhon Mein Tum Ho,Romance,5
Ankur Arora Murder Case,"Drama, Thriller",1
Ankur: The Seedling,Drama,1
Ankush,"Action, Drama",1
Anmol,"Drama, Family, Romance",5
Anmol Ghadi,"Drama, Musical, Romance",3
Anmol Sitaare,Drama,1
Anmol Tasveer,"Drama, Family",1
Anna,Biography,1
Annai Velankanni,Drama,1
Annamalai,"Action, Drama",1
Anokha,"Action, Comedy, Crime",1
Anokha Aspatal,Comedy,1
Anokha Bandhan,Drama,1
Anokha Milan,Drama,1
Anokha Moti,"Drama, Family",1
Anokhe Amar Shaheed Baba Deep Singh Ji,History,1
Anokhi Ada,"Drama, Musical, Romance",3
Anokhi Ada,"Drama, Romance",5
Anokhi Raat,"Crime, Drama, Mystery",1
Anpadh,"Drama, Musical, Romance",3
Ansh: The Deadly Part,"Crime, Drama, Thriller",1
