Actor 3,MeanRating
Devika Mukherjee,7.1
Devrati,7.5
Devraya Gole,7.400000000000001
Devyani,3.5
Dhanendra Kawde,7.3
Dhanraj,3.3
Dhanshree Patil,7.7
Dharmendra,5.36923076923077
Dheer Charan Srivastav,6.4
Dheeraj Kumar,4.5
Dheeraj Pandit,3.7
Dhirendra Gupta,6.3
Dhruv,6.2
Dhruv Piyush Panjuani,6.2
Dia Mirza,5.2
Diana Penty,6.949999999999999
Dibyendu Bhattacharya,5.76
Digangana Suryavanshi,6.0
Dilip Dhawan,5.2
Dilip Kumar,7.12
Dilip Raj,6.2
Diljit Dosanjh,6.9
Dimple,6.5
Dimple Kapadia,6.142307692307692
Dina Pathak,6.8428571428571425
Dinesh Anand,5.1
Dinesh Bawara,4.925
Dinesh Hingoo,4.25
Dinesh Mehta,7.8
Dinesh Thakur,6.925
Dino Morea,4.45
Dipak Khetiya,6.8
Dipannita Sharma,5.2
Dipanshu Dang,6.7
Dipika,4.3
Dipti,4.4
Dipti Joshi,6.7
Disha Arora,4.5
Disha Patani,6.5
Dishita Sehgal,7.9
Diveyaa Dwivedi,5.1
Divya Bharti,5.0
Divya Dutta,5.550000000000001
Divya Jagdale,6.1
Divya Rana,6.7
Divyaa Dwivedi,6.2
Divyaa Unni,5.8
Divyendu Sharma,6.514285714285714
Diya Chakraborty,4.6
Dolly Ahluwalia,5.9799999999999995
Donny Kapoor,5.3
Dr. Vilas Ujawane,6.5
Dubbing Janaki,6.5
Dulari,7.779999999999999
Durga Khote,6.835714285714286
Durgesh Kumar,7.599999999999999
Durgesh Nandini,3.8
Ehsan Khan,4.2
Eka Lakhani,7.0
Ekavali Khanna,6.8
Ekta Sohini,5.0
Elena Kazan,5.75
Elena Tuteja,3.3
Elli Avrram,3.5
Elvis Chaturvedi,3.5
Emraan Hashmi,5.54
Erika Kaar,6.2
Errol Peter Marks,4.8
Esha Deol,4.554545454545455
Esha Gupta,5.125
Esha Tewari,5.1
Eva Grover,5.6
Evelyn Sharma,2.5
Faheem Ul Haq,3.6
Faisal Khan,3.7999999999999994
Faiyyaz,7.2
Faiz Khan,5.8
Farah Khan,4.3
Faraz Ansari,5.6
Faraz Khan,8.1
Fardeen Khan,6.083333333333333
Farha Naaz,4.810526315789474
Farheen,6.199999999999999
Farid Amiri,4.6
Farida Dadi,3.6
Farida Jalal,5.5600000000000005
Farooq Shaikh,5.5
Farrukh Jaffar,5.599999999999999
Fatima Sana Shaikh,8.4
Feroz Khan,6.864705882352942
Flora,3.5
Flora Saini,4.3
Freddy Daruwala,7.2
Gadi,5.9
Gagan,4.6
Gagan Kang,3.9
Gagan Singh Sethi,7.6
Gajanan Bangera,7.5
Gajanan Jagirdar,7.457142857142857
Gajendra Chauhan,5.985714285714286
Gajraj Rao,7.2
Ganesh Venkatraman,6.8
Gargi Roy Chowdhury,7.8
Gargi Shitole,6.0
Garima Rastogi,7.7
Gary Castro Churchwell,3.6
Gary Gill,5.4
Gashmeer Mahajani,3.9
Gauahar Khan,6.26
Gaurav Arora,4.3
Gaurav Chanana,4.666666666666667
Gaurav Chopra,6.9
Gaurav Gupta,6.8
Gaurav Kamble,6.3
Gaurav Kapoor,4.7
Gaurav Kothari,4.2
Gauri,6.7
Gauri Shankar,6.6
Gautam,2.9
Gautam Dhengare,7.3
Gautami,6.14
Gautmi,3.6
Gavie Chahal,3.2
Gayatri,5.900000000000001
Geeta Bali,7.2
Geeta Basra,3.9
Geeta Behl,5.2
Geetanjali,6.6
Geetanjali Kulkarni,7.459999999999999
Geetha,7.7
Geetika Shyam,8.0
Gemini Ganesan,5.7
Gemma Atkinson,4.7
Genelia D'Souza,5.400000000000001
Geoffrey Kendal,6.8
Geshe Thupten-Phelgyei,5.1
Ghulam Mohammed,5.5
Girija Oak,6.1
Girish Karnad,6.3375
Girish Kulkarni,7.2
Gita Siddharth,7.6
Gitanjali,7.9
Gitanjali Rao,7.5
Goga Kapoor,5.74
Gopal Datt,6.2
Gopalan,6.1
Gope,6.871428571428572
Gopi Katwal,7.1
Goundamani,5.4
Goutam Ghose,7.0
Govardhan B.K,6.7
Govind Namdeo,4.36
Govinda,5.008823529411765
Gracy Singh,8.183333333333332
Greg de Sousa,8.2
Gul Panag,6.3090909090909095
Gulshan,4.5
Gulshan Devaiah,5.561538461538461
Gulshan Grover,4.96875
Gunj,2.4
Gunjan Malhotra,4.6
Gunjan Vyas,4.4
Gurbani Gill,7.8
Gurdev Bhullar,5.9
Gurleen Chopra,5.75
Gurmeet Choudhary,4.4
Gurpreet Ghuggi,7.3
Gurpreet Singh,3.2
Guy Bleyaert,6.599999999999999
Habib,5.3
Hanish Kalia,6.6
Hansa Wadkar,7.1
Hansal Mehta,5.7
Harbans Darshan M. Arora,5.900000000000001
Harish,5.336363636363636
Harish Bhimani,6.3
Harish Hariaudh,7.4
Harish Sadani,6.9
Harman Preet Kaur,5.8
Harry Key,6.099999999999999
Harsh Chhaya,5.550000000000001
Harsh Gupta,8.3
Harsh Mayar,8.0
Harsh Parekh,4.9
Harsha Mehra,2.9
Harshad Chopda,6.1
Harshita Awale,5.400000000000001
Harshita Tiwari,6.8
Hasan Zaidi,4.2
Hashmat Khan,5.7
Hazel Croney,4.18
Heena Kausar,4.65
Heena Shaik,6.6
Heera Rajgopal,5.550000000000001
Helen,6.185185185185185
Hema Malini,6.431034482758621
Hema Singh,5.7
Hemant Birje,5.2
Hemant Dhome,6.2
Hima Singh,7.400000000000001
Himalaya,4.8
Himani Shivpuri,5.8
Himanshu Malik,5.2
Himanshu Sharma,6.3
Himesh Reshammiya,4.3
Hiralal,6.1
Hitha Chandrashekar,6.6
Honeypreet Insan,6.6
Hrishitaa Bhatt,4.4
